archivo,tabla,columna,valor
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,A1
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,A2
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,A3
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,A5
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,B0
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,D1
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,D2
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,E0
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,E1
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,E2
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,F0
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,K0
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,L0
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,M0
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,P0
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,S0
parquet\2023\00_Padron\Padron.parquet,00_Padron,niv_mod,T0
parquet\2023\00_Padron\Padron.parquet,00_Padron,ges_dep,A1
parquet\2023\00_Padron\Padron.parquet,00_Padron,ges_dep,A2
parquet\2023\00_Padron\Padron.parquet,00_Padron,ges_dep,A3
parquet\2023\00_Padron\Padron.parquet,00_Padron,ges_dep,A4
parquet\2023\00_Padron\Padron.parquet,00_Padron,ges_dep,B1
parquet\2023\00_Padron\Padron.parquet,00_Padron,ges_dep,B2
parquet\2023\00_Padron\Padron.parquet,00_Padron,ges_dep,B3
parquet\2023\00_Padron\Padron.parquet,00_Padron,ges_dep,B4
parquet\2023\00_Padron\Padron.parquet,00_Padron,ges_dep,B5
parquet\2023\00_Padron\Padron.parquet,00_Padron,ges_dep,B6
parquet\2023\00_Padron\Padron.parquet,00_Padron,area_censo,1
parquet\2023\00_Padron\Padron.parquet,00_Padron,area_censo,2
parquet\2023\00_Padron\Padron.parquet,00_Padron,cod_car,1
parquet\2023\00_Padron\Padron.parquet,00_Padron,cod_car,2
parquet\2023\00_Padron\Padron.parquet,00_Padron,cod_car,3
parquet\2023\00_Padron\Padron.parquet,00_Padron,cod_car,a
parquet\2023\00_Padron\Padron.parquet,00_Padron,forma,N
parquet\2023\00_Padron\Padron.parquet,00_Padron,forma,S
parquet\2023\00_Padron\Padron.parquet,00_Padron,forma,a
parquet\2023\00_Padron\Padron.parquet,00_Padron,tipoprog,
parquet\2023\00_Padron\Padron.parquet,00_Padron,tipoprog,11
parquet\2023\00_Padron\Padron.parquet,00_Padron,tipoprog,12
parquet\2023\00_Padron\Padron.parquet,00_Padron,tipoprog,13
parquet\2023\00_Padron\Padron.parquet,00_Padron,tipoprog,14
parquet\2023\00_Padron\Padron.parquet,00_Padron,tipoprog,15
parquet\2023\00_Padron\Padron.parquet,00_Padron,gestion,1
parquet\2023\00_Padron\Padron.parquet,00_Padron,gestion,2
parquet\2023\00_Padron\Padron.parquet,00_Padron,gestion,3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,niv_mod,A1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,niv_mod,A2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,niv_mod,A3
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,niv_mod,A5
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,niv_mod,B0
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,niv_mod,D1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,niv_mod,D2
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,niv_mod,E0
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,niv_mod,E1
parquet\2023\01_Matricula01\Matricula_01.parquet,01_Matricula01,niv_mod,E2
